a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.68,0.886666667,0.853333333,0.52,0.84,0.886666667,0.895125811,1.069520748,0.977974391,0.604206159,0.672853223,1.217188391,0.886666667,0.958666667,0.98,0.854666667,0.944,0.966666667,0.286886103,1.018528218,0.985526873,0.608691502,0.67661446,1.229936389,3,N2,D1,HMG,sign,1000,500
0.946666667,0.94,0.866666667,0.506666667,0.886666667,0.926666667,0.27294083,0.284808025,0.265961075,0.156836435,0.925663421,0.326037653,0.914666667,0.937333333,0.98,0.861333333,0.944,0.957333333,0.074642635,0.223852824,0.268736957,0.158110342,0.944073734,0.3304507,3,N2,D1,N1,perm,1000,500
0.946666667,0.94,0.866666667,0.506666667,0.84,0.9,0.269652512,0.271365021,0.265961075,0.156375912,1.122596378,0.321887167,0.909333333,0.926666667,0.98,0.866666667,0.948,0.958666667,0.073726703,0.210413579,0.268736957,0.157863008,1.134754201,0.328201072,3,N2,D1,N1,sign,1000,500
0.9,0.9,0.8,0.553333333,0.88,0.88,0.712200477,0.616014054,0.58718025,0.355557115,0.295899774,0.729741374,0.909333333,0.957333333,0.982666667,0.864,0.942666667,0.961333333,0.17170628,0.516149062,0.592596131,0.360119667,0.301650175,0.733631684,3,N2,D1,N2,perm,1000,500
0.866666667,0.886666667,0.8,0.546666667,0.826666667,0.853333333,0.719273262,0.59261743,0.58718025,0.357611146,0.675268093,0.735808544,0.908,0.953333333,0.982666667,0.869333333,0.941333333,0.958666667,0.168824144,0.513119064,0.592596131,0.359927371,0.683518183,0.746274053,3,N2,D1,N2,sign,1000,500
0.8,0.86,0.8,0.88,0.913333333,0.94,0.881651465,0.95892155,0.95983636,1.449237063,1.362053923,1.475652862,0.910666667,0.945333333,0.994666667,0.954666667,0.941333333,0.956,0.195400059,0.824303039,0.973125749,1.442635367,1.384079946,1.499900274,3,TG,D1,G1,perm,1000,500
0.64,0.833333333,0.653333333,0.94,0.94,0.973333333,1.015792162,1.242383141,0.958629594,1.424865146,3.238915038,2.027802938,0.865333333,0.948,0.982666667,0.953333333,0.946666667,0.962666667,0.296727273,1.139912343,0.972758016,1.419981646,3.254996661,2.044293428,3,TG,D1,HG,sign,1000,500
0.366666667,0.9,0.72,0.94,0.96,0.96,1.133790514,2.16018364,1.533197154,2.36795417,2.982622436,3.37427232,0.902666667,0.946666667,0.977333333,0.965333333,0.946666667,0.958666667,0.496636004,2.11965796,1.554744777,2.355503398,2.999054169,3.469133107,3,TG,D1,HMG,sign,1000,500
0.773333333,0.833333333,0.673333333,0.913333333,0.953333333,0.94,0.881632165,0.914602244,0.703822975,1.038701587,1.880943582,1.489059874,0.889333333,0.957333333,0.985333333,0.954666667,0.953333333,0.969333333,0.208902163,0.760065183,0.715271301,1.032214816,1.895642868,1.506541867,3,TG,D1,N1,perm,1000,500
0.793333333,0.806666667,0.673333333,0.9,0.946666667,0.953333333,0.883973215,0.896028793,0.703822975,1.037089433,3.165789712,1.491988515,0.898666667,0.94,0.985333333,0.950666667,0.946666667,0.965333333,0.20629541,0.737787078,0.715271301,1.032898889,3.253181661,1.49927824,3,TG,D1,N1,sign,1000,500
0.373333333,0.88,0.68,0.94,0.933333333,0.966666667,1.092849928,1.975926037,1.349117769,2.174452274,1.37980559,3.189490262,0.925333333,0.944,0.969333333,0.961333333,0.950666667,0.958666667,0.442832251,1.93338762,1.369446376,2.170531862,1.386567783,3.204261152,3,TG,D1,N2,perm,1000,500
0.393333333,0.88,0.68,0.94,0.953333333,0.96,1.141857939,1.96914026,1.349117769,2.184945774,2.942536387,3.134012161,0.913333333,0.942666667,0.969333333,0.958666667,0.949333333,0.957333333,0.451586099,1.927552601,1.369446376,2.173202982,3.009124593,3.21031751,3,TG,D1,N2,sign,1000,500
0.706666667,0.873333333,0.813333333,0.893333333,0.933333333,0.953333333,0.812728654,0.947461172,1.060448391,1.46168729,1.418116769,1.529633461,0.909333333,0.956,0.994666667,0.918666667,0.949333333,0.964,0.201303655,0.817324739,1.050272104,1.436067954,1.402897713,1.512074951,3,TGM,D1,G1,perm,1000,500
0.566666667,0.846666667,0.693333333,0.88,0.92,0.9,0.969799499,1.459797941,1.005010834,1.401898016,3.306993291,1.943157819,0.897333333,0.952,0.984,0.954666667,0.949333333,0.965333333,0.292073827,1.225264594,0.989454819,1.379633627,3.273340936,1.911158675,3,TGM,D1,HG,sign,1000,500
0.253333333,0.873333333,0.7,0.9,0.92,0.913333333,1.005349118,2.406273121,1.499422894,2.372232824,3.092944405,3.52936799,0.894666667,0.950666667,0.972,0.96,0.952,0.964,0.48804689,2.152063081,1.486402574,2.321711308,3.059329122,3.416568787,3,TGM,D1,HMG,sign,1000,500
0.793333333,0.853333333,0.706666667,0.893333333,0.853333333,0.92,0.910430624,0.946073465,0.743826224,1.061819785,1.788036536,1.54253778,0.881333333,0.954666667,0.982666667,0.96,0.938666667,0.961333333,0.21395764,0.787349407,0.731433622,1.042264279,1.761386033,1.523598452,3,TGM,D1,N1,perm,1000,500
0.786666667,0.893333333,0.706666667,0.88,0.906666667,0.913333333,0.896936735,1.018270515,0.743826224,1.064595833,3.335686196,1.523675481,0.86,0.94,0.982666667,0.957333333,0.949333333,0.956,0.213249806,0.784181602,0.731433622,1.04576493,3.227101765,1.500726779,3,TGM,D1,N1,sign,1000,500
0.32,0.886666667,0.673333333,0.913333333,0.893333333,0.946666667,1.052845575,2.013466475,1.405309964,2.216594233,1.408183754,3.291375255,0.898666667,0.937333333,0.970666667,0.961333333,0.94,0.958666667,0.460831124,1.92822474,1.403954672,2.168816828,1.385244728,3.25557103,3,TGM,D1,N2,perm,1000,500
0.293333333,0.886666667,0.673333333,0.906666667,0.906666667,0.92,1.045873764,2.219723643,1.405309964,2.217533661,3.176256606,3.386154092,0.904,0.949333333,0.970666667,0.96,0.956,0.965333333,0.454232499,1.970857567,1.403954672,2.169309764,3.066271097,3.270852533,3,TGM,D1,N2,sign,1000,500
0.514,0.744,0.918,0.908,0.916,0.946,0.456593781,0.742063388,1.368167387,1.615752796,1.283365377,1.466773269,0.756,0.938666667,0.988,0.949333333,0.970666667,0.985333333,0.167137392,0.518494832,1.364471208,1.614799301,1.285726822,1.468142264,10,G1,D1,G1,perm,1000,500
0.474,0.78,0.896,0.962,0.926,0.95,0.657828,1.158825075,1.401465142,1.624791282,2.083928901,1.73848842,0.788,0.937333333,0.988,0.978666667,0.946666667,0.974666667,0.265391041,0.945620528,1.402861987,1.625791584,2.080701481,1.687044732,10,G1,D1,HG,sign,1000,500
0.34,0.82,0.91,0.952,0.92,0.94,0.805484603,1.916474675,1.891631897,2.153563356,1.991669808,2.301832056,0.824,0.949333333,0.977333333,0.974666667,0.954666667,0.958666667,0.46254889,1.726627188,1.894046891,2.155168648,1.990518771,2.259511363,10,G1,D1,HMG,sign,1000,500
0.54,0.818,0.888,0.96,0.922,0.958,0.519102305,0.831740751,1.156931666,1.429500519,1.541255956,1.493593741,0.770666667,0.956,0.989333333,0.98,0.96,0.98,0.189498054,0.630623954,1.155332639,1.425264726,1.494351732,1.48896667,10,G1,D1,N1,perm,1000,500
0.586,0.798,0.888,0.968,0.906,0.956,0.563324462,0.838388497,1.156931666,1.42917247,2.081527444,1.514548883,0.808,0.944,0.989333333,0.981333333,0.944,0.977333333,0.205999858,0.602128983,1.155332639,1.428539491,2.043323236,1.464379489,10,G1,D1,N1,sign,1000,500
0.328,0.832,0.902,0.954,0.918,0.95,0.801137668,1.769621352,1.81845473,2.058424061,1.323294299,2.196201603,0.830666667,0.946666667,0.98,0.969333333,0.966666667,0.968,0.439259139,1.713046537,1.812809719,2.054670598,1.279932311,2.194557496,10,G1,D1,N2,perm,1000,500
0.374,0.798,0.902,0.958,0.912,0.952,0.824436671,1.765961798,1.81845473,2.0570516,1.990867388,2.208471243,0.837333333,0.936,0.98,0.969333333,0.950666667,0.961333333,0.44041558,1.567322601,1.812809719,2.05796909,1.951997846,2.167033985,10,G1,D1,N2,sign,1000,500
0.574,0.732,0.882,0.92,0.912,0.946,0.496027983,0.751661206,1.305279084,1.588763017,1.289276166,1.480566804,0.805333333,0.949333333,0.986666667,0.96,0.973333333,0.981333333,0.181770464,0.528915603,1.303926553,1.588304788,1.28176473,1.471584514,10,N1,D1,G1,perm,1000,500
0.526,0.742,0.862,0.944,0.93,0.934,0.668889932,1.065358885,1.38736731,1.607164847,2.085632417,1.729012348,0.768,0.936,0.981333333,0.969333333,0.968,0.985333333,0.267312918,0.907940115,1.384864334,1.606474023,2.069888044,1.688896617,10,N1,D1,HG,sign,1000,500
0.294,0.772,0.892,0.958,0.942,0.95,0.746390876,1.723089624,1.92389755,2.147883527,1.98081624,2.30984389,0.804,0.944,0.982666667,0.98,0.969333333,0.974666667,0.424496232,1.631667362,1.918951755,2.148341376,1.965353793,2.266525369,10,N1,D1,HMG,sign,1000,500
0.582,0.794,0.862,0.94,0.902,0.926,0.515429984,0.815520276,1.156583291,1.387491087,1.526499533,1.478833182,0.757333333,0.956,0.988,0.974666667,0.966666667,0.985333333,0.199110294,0.587196928,1.155723162,1.386976331,1.491884802,1.468917698,10,N1,D1,N1,perm,1000,500
0.6,0.758,0.862,0.942,0.932,0.936,0.52941143,0.785582123,1.156583291,1.390417366,2.09442748,1.499645858,0.766666667,0.926666667,0.988,0.976,0.962666667,0.989333333,0.194008886,0.566740192,1.155723162,1.389722302,2.055615604,1.462785946,10,N1,D1,N1,sign,1000,500
0.314,0.764,0.886,0.96,0.898,0.95,0.7422978,1.573041,1.788766,2.051225,1.312384542,2.18963156,0.7986667,0.9293333,0.988,0.9786667,0.973333333,0.982666667,0.3904379,1.492607,1.789328,2.050014,1.280095027,2.171852466,10,N1,D1,N2,perm,1000,500
0.312,0.756,0.886,0.962,0.936,0.954,0.74465402,1.575542705,1.788765985,2.052329467,1.993492096,2.202687328,0.801333333,0.933333333,0.988,0.98,0.962666667,0.974666667,0.391328534,1.472524384,1.789328158,2.052622031,1.959153378,2.165191366,10,N1,D1,N2,sign,1000,500
0.716,0.892,0.85,0.3,0.864,0.914,0.273762337,0.422924713,0.826532489,0.200418467,0.89176045,1.035340925,0.829333333,0.969333333,0.992,0.796,0.977333333,0.990666667,0.082478071,0.229295918,0.824244018,0.200567044,0.895342303,1.037967356,10,N2,D1,G1,perm,1000,500
0.464,0.74,0.854,0.366,0.894,0.92,0.606325341,1.002031156,1.332959618,0.489713688,1.587753968,1.638129884,0.788,0.941333333,0.988,0.804,0.964,0.989333333,0.250930234,0.811748503,1.330489684,0.486534397,1.591700457,1.646080808,10,N2,D1,HG,sign,1000,500
0.442,0.754,0.856,0.468,0.884,0.922,0.765405865,1.264128039,1.442885212,0.676630882,1.241465419,1.769705952,0.836,0.946666667,0.982666667,0.866666667,0.973333333,0.978666667,0.345627782,1.15508802,1.438223136,0.675921773,1.243291504,1.773588951,10,N2,D1,HMG,sign,1000,500
0.694,0.832,0.856,0.376,0.89,0.93,0.251271304,0.371729685,0.708547589,0.164441332,1.453075723,0.982565824,0.802666667,0.946666667,0.994666667,0.809333333,0.972,0.994666667,0.076634569,0.20598678,0.706999897,0.163141271,1.457665611,0.982880783,10,N2,D1,N1,perm,1000,500
0.7,0.812,0.856,0.368,0.894,0.924,0.243205735,0.359230453,0.708547589,0.163944838,1.585430639,0.981033534,0.793333333,0.936,0.994666667,0.808,0.961333333,0.990666667,0.072975924,0.193809333,0.706999897,0.162980296,1.59007954,0.990707233,10,N2,D1,N1,sign,1000,500
0.584,0.768,0.846,0.49,0.876,0.928,0.526072085,0.826176065,1.127626799,0.420291279,0.852265049,1.423283159,0.802666667,0.961333333,0.989333333,0.850666667,0.982666667,0.985333333,0.181845789,0.582354727,1.124036027,0.419159537,0.862096098,1.425843406,10,N2,D1,N2,perm,1000,500
0.562,0.778,0.846,0.486,0.884,0.922,0.520347458,0.783072706,1.127626799,0.419336874,1.241096644,1.424151064,0.782666667,0.953333333,0.989333333,0.849333333,0.977333333,0.989333333,0.176956646,0.554042964,1.124036027,0.419108909,1.24827897,1.434227982,10,N2,D1,N2,sign,1000,500
0.494,0.664,0.68,0.914,0.95,0.984,0.747279537,1.076191397,1.463007943,2.013860876,2.190336709,2.528808066,0.812,0.933333333,0.985333333,0.96,0.973333333,0.990666667,0.298825023,0.790423222,1.481618845,2.011450837,2.180390982,2.517114101,10,TG,D1,G1,perm,1000,500
0.418,0.624,0.694,0.908,0.95,0.968,0.931149588,1.298265152,1.499759325,2.002684518,3.782199316,2.90710147,0.808,0.934666667,0.992,0.98,0.982666667,0.992,0.416613319,1.08254335,1.526067746,2.001062712,3.755848364,2.89469285,10,TG,D1,HG,sign,1000,500
0.234,0.798,0.796,0.954,0.954,0.974,0.992128732,2.230084823,1.946466705,2.820890026,3.570705848,4.110893944,0.861333333,0.952,0.98,0.974666667,0.984,0.986666667,0.612343298,2.146201842,1.990058397,2.819201605,3.54612532,4.108104727,10,TG,D1,HMG,sign,1000,500
0.522,0.654,0.634,0.902,0.954,0.976,0.745307339,1.106333003,1.298477495,1.720328829,2.559367397,2.524917718,0.809333333,0.942666667,0.986666667,0.981333333,0.98,0.996,0.299248926,0.822367305,1.321582082,1.720441711,2.548427974,2.512847322,10,TG,D1,N1,perm,1000,500
0.542,0.656,0.634,0.9,0.946,0.976,0.757174843,1.063876169,1.298477495,1.722181858,3.723749188,2.522017631,0.804,0.94,0.986666667,0.98,0.969333333,0.993333333,0.307562466,0.775715366,1.321582082,1.721170825,3.721826338,2.508105158,10,TG,D1,N1,sign,1000,500
0.294,0.774,0.782,0.948,0.952,0.974,0.935637555,2.078889426,1.895686897,2.67231948,2.192026278,3.964846336,0.801333333,0.952,0.982666667,0.976,0.978666667,0.992,0.53625065,1.973639034,1.938081533,2.672435878,2.179352125,3.938639888,10,TG,D1,N2,perm,1000,500
0.256,0.774,0.782,0.946,0.954,0.974,0.967851287,2.026669516,1.895686897,2.677068455,3.530771054,3.912073209,0.876,0.949333333,0.982666667,0.974666667,0.976,0.986666667,0.577538375,1.929134875,1.938081533,2.67524824,3.527092463,3.907855687,10,TG,D1,N2,sign,1000,500
0.49,0.636,0.714,0.884,0.942,0.976,0.724497223,1.093280007,1.538457825,1.974214985,2.176300706,2.524483991,0.805333333,0.932,0.988,0.942666667,0.977333333,0.989333333,0.29375388,0.850878858,1.580728535,1.977707681,2.157147434,2.499798126,10,TGM,D1,G1,perm,1000,500
0.402,0.626,0.654,0.944,0.948,0.962,0.801803355,1.369223197,1.457516208,1.93921556,3.814789904,2.789979968,0.830666667,0.936,0.984,0.969333333,0.973333333,0.993333333,0.36219931,1.128874417,1.499679952,1.933996505,3.763619464,2.709874939,10,TGM,D1,HG,sign,1000,500
0.218,0.778,0.792,0.94,0.956,0.966,0.965080236,2.257003392,2.005569539,2.747074511,3.640351442,4.054445532,0.901333333,0.945333333,0.98,0.962666667,0.966666667,0.978666667,0.585012948,2.168175491,2.083321148,2.745313933,3.598755645,4.032627695,10,TGM,D1,HMG,sign,1000,500
0.522,0.624,0.642,0.928,0.934,0.976,0.742050367,1.101820213,1.270226184,1.707441334,2.427786659,2.528827137,0.814666667,0.933333333,0.98,0.964,0.976,0.994666667,0.288389154,0.872497552,1.310589595,1.705764031,2.356939906,2.508281084,10,TGM,D1,N1,perm,1000,500
0.52,0.638,0.642,0.932,0.946,0.958,0.74602475,1.093365843,1.270226184,1.709873745,3.668481728,2.481096857,0.844,0.925333333,0.98,0.966666667,0.961333333,0.993333333,0.298243319,0.815185875,1.310589595,1.705440538,3.654235312,2.408155357,10,TGM,D1,N1,sign,1000,500
0.252,0.78,0.746,0.938,0.94,0.978,0.969850609,2.089480239,1.839440501,2.629433444,2.140147186,4.029308335,0.868,0.932,0.973333333,0.964,0.978666667,0.988,0.55798177,1.990357168,1.91360482,2.629241683,2.078293609,3.98420694,10,TGM,D1,N2,perm,1000,500
0.276,0.766,0.746,0.944,0.94,0.974,0.977001736,2.088689469,1.839440501,2.635164112,3.541357201,3.913894644,0.844,0.936,0.973333333,0.957333333,0.962666667,0.978666667,0.544678884,2.007245025,1.91360482,2.632292401,3.515395398,3.887624533,10,TGM,D1,N2,sign,1000,500
