a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.72,0.933333333,0.866666667,0.906666667,0.873333333,0.873333333,1.025492853,0.977011782,0.885341434,1.075034798,0.947665166,0.985509741,0.94,0.96,0.984,0.964,0.954666667,0.966666667,0.219759581,0.968926,0.888323078,1.077907072,0.953430744,0.991569935,3,N1,D1,N2,perm,1000,500
0.746666667,0.92,0.866666667,0.913333333,0.88,0.893333333,1.016945893,1.026332326,0.885341434,1.068034955,0.966483199,1.005106711,0.928,0.961333333,0.984,0.969333333,0.956,0.962666667,0.212839748,0.962128232,0.888323078,1.07908164,0.960337635,0.9986799,3,N1,D1,N2,sign,1000,500
0.98,0.973333333,0.946666667,0.353333333,0.906666667,0.933333333,0.226659673,0.182574163,0.251796025,0.120308229,0.181784122,0.189285061,0.953333333,0.957333333,0.994666667,0.870666667,0.961333333,0.965333333,0.042314591,0.169385059,0.253565769,0.120845017,0.183996454,0.191593817,3,N2,D1,G1,perm,1000,500
0.96,0.98,0.886666667,0.273333333,0.886666667,0.893333333,0.805614574,0.58560171,0.567400475,0.252432342,0.597146502,0.621144991,0.942666667,0.962666667,0.989333333,0.878666667,0.94,0.948,0.136988899,0.563308728,0.571380303,0.255090745,0.598892672,0.623026246,3,N2,D1,HG,perm,1000,500
0.966666667,0.96,0.886666667,0.3,0.9,0.906666667,0.805146152,0.578859634,0.567400475,0.253573238,0.588261326,0.611922333,0.946666667,0.958666667,0.989333333,0.881333333,0.941333333,0.948,0.13680939,0.553960916,0.571380303,0.255149465,0.5979145,0.622010096,3,N2,D1,HG,sign,1000,500
0.933333333,0.9,0.88,0.393333333,0.86,0.88,0.95700099,0.700111751,0.669549806,0.312623189,0.700647502,0.731660528,0.958666667,0.968,0.990666667,0.868,0.956,0.965333333,0.162797097,0.68692291,0.674254647,0.313676698,0.705648987,0.736832207,3,N2,D1,HMG,perm,1000,500
0.94,0.893333333,0.88,0.393333333,0.86,0.86,0.938148852,0.702117323,0.669549806,0.311875165,0.697424627,0.728293495,0.946666667,0.968,0.990666667,0.869333333,0.962666667,0.973333333,0.160692179,0.679434121,0.674254647,0.314680093,0.7037454,0.734875393,3,N2,D1,HMG,sign,1000,500
0.96,0.973333333,0.9,0.306666667,0.886666667,0.886666667,0.20738009,0.18621024,0.178334854,0.080537348,0.188711339,0.196306996,0.950666667,0.952,0.988,0.878666667,0.94,0.945333333,0.042948005,0.169871729,0.179575941,0.08129533,0.189130071,0.196763499,3,N2,D1,N1,perm,1000,500
0.94,0.966666667,0.9,0.32,0.906666667,0.913333333,0.195356516,0.180816022,0.178334854,0.080915785,0.185927979,0.193417519,0.945333333,0.946666667,0.988,0.881333333,0.941333333,0.946666667,0.043263015,0.164160591,0.179575941,0.081295635,0.188944903,0.196573866,3,N2,D1,N1,sign,1000,500
0.946666667,0.933333333,0.873333333,0.413333333,0.893333333,0.906666667,0.611543222,0.408536107,0.396156004,0.189105486,0.418901622,0.436202978,0.946666667,0.953333333,0.985333333,0.873333333,0.945333333,0.953333333,0.097229422,0.373604929,0.398805776,0.189585063,0.421088166,0.438499048,3,N2,D1,N2,perm,1000,500
0.953333333,0.92,0.873333333,0.42,0.866666667,0.886666667,0.610152764,0.403661615,0.396156004,0.189045022,0.416624908,0.433822166,0.941333333,0.948,0.985333333,0.874666667,0.949333333,0.958666667,0.097093394,0.367557457,0.398805776,0.190270745,0.421474976,0.438906158,3,N2,D1,N2,sign,1000,500
0.94,0.933333333,0.893333333,0.926666667,0.913333333,0.92,0.768368928,0.647695712,0.714223957,1.001122547,0.72189813,0.751556854,0.941333333,0.957333333,1,0.936,0.950666667,0.961333333,0.096683129,0.576918207,0.720039139,0.991675994,0.716673334,0.746163509,3,TG,D1,G1,perm,1000,500
0.9,0.9,0.78,0.953333333,0.913333333,0.926666667,1.036959017,0.876957229,0.724856478,1.006837932,1.025626151,1.071598965,0.94,0.953333333,0.990666667,0.957333333,0.958666667,0.961333333,0.145433925,0.824242465,0.730706335,0.993525695,1.005062293,1.050215735,3,TG,D1,HG,perm,1000,500
